PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
14,20,21,25.71,56.95,6
14,20,21,25.68,57.49,9
14,20,21,25.69,57.66,12
14,20,21,25.67,57.12,15
14,20,22,25.63,57.33,18
15,20,22,25.52,55.99,21
15,20,21,25.44,54.86,24
15,20,21,25.38,55.14,27
15,20,22,25.33,57.27,6
15,20,21,25.31,57.03,9
15,19,21,25.28,56.73,12
15,19,20,25.24,56.04,15
15,19,20,25.23,56.47,18
15,19,20,25.22,57.15,21
14,19,20,25.20,56.86,24
14,18,21,25.22,56.97,27
