PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec,source_file
11,15,16,30.43,42.16,12,Gagarinskiy_dvor.CSV
11,14,16,30.49,45.44,15,Gagarinskiy_dvor.CSV
11,14,15,30.58,50.03,18,Gagarinskiy_dvor.CSV
11,14,15,30.62,51.03,21,Gagarinskiy_dvor.CSV
11,14,14,30.7,49.53,24,Gagarinskiy_dvor.CSV
11,13,14,30.73,45.87,27,Gagarinskiy_dvor.CSV
20,28,32,20.52,67.87,27,NButovo_dvor.CSV
20,28,32,20.51,68.23,30,NButovo_dvor.CSV
20,28,32,20.56,68.29,33,NButovo_dvor.CSV
20,28,32,20.57,68.69,42,NButovo_dvor.CSV
20,28,32,20.56,68.64,45,NButovo_dvor.CSV
20,27,31,20.56,68.66,48,NButovo_dvor.CSV
20,27,31,20.57,68.73,51,NButovo_dvor.CSV
20,27,31,20.57,68.66,54,NButovo_dvor.CSV
20,27,31,20.57,68.98,57,NButovo_dvor.CSV
20,28,32,20.58,69.7,60,NButovo_dvor.CSV
20,27,32,20.56,68.71,72,NButovo_dvor.CSV
20,27,32,20.59,68.72,75,NButovo_dvor.CSV
20,27,31,20.58,68.45,78,NButovo_dvor.CSV
20,27,31,20.61,68.33,80,NButovo_dvor.CSV
20,27,31,20.56,68.35,83,NButovo_dvor.CSV
20,27,31,20.58,68.18,86,NButovo_dvor.CSV
20,27,31,20.6,68.28,89,NButovo_dvor.CSV
20,27,31,20.59,68.34,92,NButovo_dvor.CSV
20,27,31,20.58,68.4,95,NButovo_dvor.CSV
20,27,31,20.61,68.3,98,NButovo_dvor.CSV
20,27,31,20.6,68.44,101,NButovo_dvor.CSV
20,27,31,20.6,68.46,104,NButovo_dvor.CSV
20,27,31,20.59,68.69,107,NButovo_dvor.CSV
20,27,32,20.61,69.2,110,NButovo_dvor.CSV
20,28,32,20.6,69.13,113,NButovo_dvor.CSV
20,28,32,20.57,69.06,116,NButovo_dvor.CSV
20,27,31,20.6,68.99,119,NButovo_dvor.CSV
20,27,31,20.61,68.83,122,NButovo_dvor.CSV
20,27,32,20.28,67.91,21,SButovo_dvor.CSV
20,27,32,20.29,68.0,24,SButovo_dvor.CSV
20,27,32,20.3,68.04,27,SButovo_dvor.CSV
20,27,31,20.32,68.0,30,SButovo_dvor.CSV
20,27,31,20.29,67.83,33,SButovo_dvor.CSV
18,24,29,20.29,67.64,12,SButovo_dvor.CSV
18,25,29,20.31,67.56,15,SButovo_dvor.CSV
18,25,29,20.3,67.53,18,SButovo_dvor.CSV
19,25,29,20.29,67.47,21,SButovo_dvor.CSV
19,26,29,20.31,67.5,24,SButovo_dvor.CSV
19,26,30,20.32,67.38,27,SButovo_dvor.CSV
19,27,31,20.32,67.17,30,SButovo_dvor.CSV
20,27,32,20.31,67.53,33,SButovo_dvor.CSV
20,27,33,20.32,67.44,36,SButovo_dvor.CSV
20,28,34,20.31,67.16,39,SButovo_dvor.CSV
21,28,35,20.31,67.16,42,SButovo_dvor.CSV
21,28,35,20.31,67.55,45,SButovo_dvor.CSV
20,28,34,20.31,67.67,48,SButovo_dvor.CSV
20,28,33,20.32,67.54,51,SButovo_dvor.CSV
20,27,33,20.29,67.4,54,SButovo_dvor.CSV
20,27,33,20.29,67.14,57,SButovo_dvor.CSV
20,27,32,20.27,67.02,60,SButovo_dvor.CSV
20,26,32,20.29,67.62,63,SButovo_dvor.CSV
19,26,31,20.27,67.97,66,SButovo_dvor.CSV
19,26,31,20.29,67.76,69,SButovo_dvor.CSV
19,26,31,20.28,67.97,72,SButovo_dvor.CSV
19,26,31,20.25,68.27,75,SButovo_dvor.CSV
20,26,31,20.29,68.69,78,SButovo_dvor.CSV
20,26,31,20.32,69.1,80,SButovo_dvor.CSV
20,26,31,20.31,69.2,83,SButovo_dvor.CSV
20,27,31,20.28,69.5,86,SButovo_dvor.CSV
20,27,32,20.29,69.2,89,SButovo_dvor.CSV
20,27,32,20.29,68.44,92,SButovo_dvor.CSV
20,27,32,20.27,67.74,95,SButovo_dvor.CSV
20,27,32,20.29,67.52,98,SButovo_dvor.CSV
20,27,32,20.31,67.31,101,SButovo_dvor.CSV
20,27,31,20.27,67.08,104,SButovo_dvor.CSV
19,27,31,20.26,67.22,107,SButovo_dvor.CSV
19,26,31,20.29,67.31,110,SButovo_dvor.CSV
19,26,31,20.27,67.52,113,SButovo_dvor.CSV
19,27,31,20.29,67.37,116,SButovo_dvor.CSV
20,27,31,20.28,67.05,119,SButovo_dvor.CSV
20,27,32,20.29,67.08,122,SButovo_dvor.CSV
20,28,33,20.33,67.24,125,SButovo_dvor.CSV
20,28,33,20.33,66.93,128,SButovo_dvor.CSV
20,28,33,20.3,66.88,131,SButovo_dvor.CSV
20,28,33,20.35,66.95,134,SButovo_dvor.CSV
18,24,27,21.28,59.96,30,Yasenevo_dvor.CSV
18,24,27,21.26,60.14,51,Yasenevo_dvor.CSV
18,24,27,21.25,60.22,54,Yasenevo_dvor.CSV
18,24,27,21.22,60.16,57,Yasenevo_dvor.CSV
18,24,27,21.26,60.15,60,Yasenevo_dvor.CSV
18,24,27,21.23,60.18,63,Yasenevo_dvor.CSV
18,24,27,21.26,60.41,66,Yasenevo_dvor.CSV
18,24,27,21.23,60.31,69,Yasenevo_dvor.CSV
18,24,27,21.24,60.4,72,Yasenevo_dvor.CSV
18,24,27,21.24,60.39,75,Yasenevo_dvor.CSV
18,24,27,21.28,60.4,77,Yasenevo_dvor.CSV
18,24,27,21.25,60.43,80,Yasenevo_dvor.CSV
18,24,27,21.27,60.37,83,Yasenevo_dvor.CSV
18,24,27,21.24,60.42,86,Yasenevo_dvor.CSV
18,24,27,21.26,60.82,89,Yasenevo_dvor.CSV
18,24,27,21.27,60.62,92,Yasenevo_dvor.CSV
18,24,27,21.22,60.36,95,Yasenevo_dvor.CSV
18,24,27,21.25,60.3,98,Yasenevo_dvor.CSV
18,24,27,21.22,60.5,101,Yasenevo_dvor.CSV
18,24,27,21.22,60.39,104,Yasenevo_dvor.CSV
18,24,27,21.21,60.3,107,Yasenevo_dvor.CSV
18,25,28,21.21,60.24,110,Yasenevo_dvor.CSV
13,16,17,27.77,48.4,21,Cheremushki_dvor.CSV
13,16,17,27.81,48.44,24,Cheremushki_dvor.CSV
13,16,18,27.84,49.41,27,Cheremushki_dvor.CSV
13,16,17,27.25,46.81,9,Cheremushki_dvor.CSV
13,17,18,27.26,46.68,12,Cheremushki_dvor.CSV
13,17,19,27.3,46.9,15,Cheremushki_dvor.CSV
13,17,19,27.36,48.73,18,Cheremushki_dvor.CSV
13,17,19,27.38,48.81,21,Cheremushki_dvor.CSV
13,17,19,27.41,48.78,24,Cheremushki_dvor.CSV
13,17,19,27.47,49.0,27,Cheremushki_dvor.CSV
15,20,23,23.97,58.83,27,Tepliy_dvor.CSV
15,20,23,23.94,58.99,30,Tepliy_dvor.CSV
15,21,23,23.93,58.08,33,Tepliy_dvor.CSV
15,20,23,23.92,56.83,36,Tepliy_dvor.CSV
15,20,23,23.94,56.34,39,Tepliy_dvor.CSV
15,20,23,23.95,57.8,42,Tepliy_dvor.CSV
15,20,23,23.95,58.49,45,Tepliy_dvor.CSV
15,20,23,23.95,57.12,48,Tepliy_dvor.CSV
15,20,24,23.96,57.04,51,Tepliy_dvor.CSV
15,20,24,23.96,56.49,54,Tepliy_dvor.CSV
15,21,24,23.97,57.21,57,Tepliy_dvor.CSV
15,21,24,23.99,56.03,60,Tepliy_dvor.CSV
15,20,23,23.96,55.55,63,Tepliy_dvor.CSV
15,20,24,23.98,56.53,75,Tepliy_dvor.CSV
15,21,24,23.96,56.71,77,Tepliy_dvor.CSV
15,21,24,24.02,56.94,80,Tepliy_dvor.CSV
15,20,23,24.02,58.36,86,Tepliy_dvor.CSV
15,20,23,24.04,58.19,89,Tepliy_dvor.CSV
12,16,17,28.25,42.02,21,Kotlovka_dvor.CSV
12,16,17,28.09,41.99,24,Kotlovka_dvor.CSV
12,16,17,28.16,44.72,27,Kotlovka_dvor.CSV
13,18,20,27.99,42.7,6,Kotlovka_dvor.CSV
13,18,20,28.09,43.82,9,Kotlovka_dvor.CSV
13,17,19,28.16,47.67,12,Kotlovka_dvor.CSV
13,17,19,28.17,48.52,15,Kotlovka_dvor.CSV
13,17,19,28.24,49.44,18,Kotlovka_dvor.CSV
13,17,19,28.29,51.56,21,Kotlovka_dvor.CSV
13,17,19,28.33,54.17,24,Kotlovka_dvor.CSV
13,17,19,28.4,53.65,27,Kotlovka_dvor.CSV
