PM1.0,PM2.5,PM10,Temperature,Humidity,Time_sec
12,16,17,27.20,47.33,6
13,16,17,27.64,49.01,9
13,16,17,27.67,48.55,12
13,16,17,27.69,46.88,15
13,16,17,27.73,47.38,18
13,16,17,27.77,48.40,21
13,16,17,27.81,48.44,24
13,16,18,27.84,49.41,27
12,16,17,27.20,47.33,6
13,16,17,27.25,46.81,9
13,17,18,27.26,46.68,12
13,17,19,27.30,46.90,15
13,17,19,27.36,48.73,18
13,17,19,27.38,48.81,21
13,17,19,27.41,48.78,24
13,17,19,27.47,49.00,27
